recipeid,env_score,nutri_score,meal_score,name,ingredients,instructions,category,images
317804,216.9399893,70.88419297,75,New Orleans-i töltött paprika,"fokhagyma gerezdek, lila hagyma, zeller, tojás, mozzarelőa sajt, paprika","Süsd meg a darált húst fokhagymával, hagymával és zellerrelő Készí­tsd előa Dirty Rice-t. Add hozzá a húskeveréket a Dirty Rice-hoz, és párold 25 percig. Vegyed le a t?zr?l, és hagyd állni 5 percig. Melegí­tsd elő a sütőt 350 fokra. Készí­tsd elő a paprikákat, magozd ki, távolí­tsd előa magokat, és vágd le a tetejüket (egyenlí­tsd ki az aljukat, hogy egyenesen álljanak). Verj felőegy tojást Franks Red Hot szósszal, és adj hozzá 1 csésze sajtot a tojáskeverékhez. Keverd hozzá a tojáskeveréket a Dirty Rice-húskeverékhez. Töltsd meg mindegyik paprikát a tetejéig a hús-rizs keverékkelő és Helyezd üveg sütőtálba. Laza alufóliával fedd le. Süsd a sütőben 25 percig. Vegyed ki a sütőből, vedd le a fóliát, és Szórd meg mindegyik paprikát a maradék sajttal. Süsd további 10 percig lefedetlenül. Ha előészült, vedd ki a sütőből, és hagyd állni 5 percig mielőtt tálalnád.",Hús,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/78/04/pic1jsSpC.jpg"
421807,206.1332885,57.49590336,90,Minestrone leves (Lassúfőz?ben),"marhacomb, marhahúsos pörkölt, víz, hagyma, só, kakukkf?, petrezselőem, fekete bors, paradicsom, cukkini, csicseriborsó, káposzta, parmezán sajt","1. Egy lassúfőz?ben keverd össze a marhahúst ví­zzelő hagymával, sóval, kakukkf?velő petrezselőemmelő borssal és paradicsommal. 2. Fedd le ésfőzd alacsony h?fokon 7-9 órán keresztül. 3. Ha marhacombot használsz, vedd ki a csontokat (vágd felőa húst és tedd vissza afőzékba). 4. íllí­tsd a h?fokot magasra. 5. Add hozzá a cukkinit, babot, káposztát és tésztát. 6. Fedd le ésfőzd magas h?fokon 30-45 percig, vagy amí­g a tészta/zöldségek puha lesznek. 7. Szórd meg sajttal.",Hüvelőesek,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/18/07/picR5DDQr.jpg"
323083,237.2378185,66.69193738,65,A Legjobb Olasz Manicotti,"sovány marhahús, fokhagyma, hagyma, kockára vágott paradicsom, friss gombák, édeskömény mag, bazsalikom, f?szársó, bors, fagyasztott spenót, parmezán sajt, zsĂ­rszegény túró, ?rölt szárecsendió, bors","Egy nagy serpenyőben pirí­tsd meg a darált húst, majd add hozzá a fokhagymát és a hagymát, vedd vissza a h?fokot alacsonyra, és párold 10 percig, majd Szórd le. Adj hozzá paradicsomot, a paradicsom levét, gombát, édeskömény magot, bazsalikomot, olasz f?szárezést, f?szársót és borsot, majd keverd össze alaposan. Forrald felő vedd vissza a h?fokot, és párold 10 percig, id?nként megkeverve. Egy másik tálban keverd össze a jól leszárt spenótot, a parmezánt, a túrót, a szárecsendiót és a borsot. Egy 9x13 colos sütőtálba, amit bepermeteztél, kanalazd előegyenletesen az aljára a húsos szószt. Töltsd meg a manicottitésztát a spenótos keverékkelő és Helyezd a húsos rétegre a sütőtálban. Ismételd meg, amí­g előnem fogy a spenótos töltelők a manicottitészta esetében.öntsd egyenletesen a maradék húsos szószt a manicottitészta tetejére. Szórd rá a maradék parmezán sajtot. Fedd le, és süsd 325 fokon 1 óra 30 percig, vagy amí­g a tészták megpuhulnak.",Tészta,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/32/30/83/picodprJ3.jpg"
483523,206.10589,72.16932939,65,Lassúfőz?ben készült Arroz Con Pollo,"csirkecombok, kockára vágott paradicsom, konzerv borsó, csirkehús alaplé, fokhagymapor, sáfrányos rizs","1. 1. 2. Tedd az összes hozzávalót a lassúfőz?edénybe, KIVéVE a rizst, magas h?fokon 4 órán keresztül, vagy alacsony h?fokon 6-8 órán át. 3. Keverd össze az egészet és hagyd figyelően kí­vül., 2. 4. Egy órával az étkezés előtt add hozzá az egész 8 uncia rizst és állí­tsd alacsony h?fokra., 3. 5.főzd lefedve egy órán keresztül., 4. 6. Tálald és élvezd!",Egytálétel,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/35/23/picGBrqAN.jpg"
179156,232.1928051,68.49756747,60,Sajttal töltött cannelőoni hússal öntve,"Darált marhahús, tojás, mozzarelőa sajt, ricotta sajt, parmezán sajt, fokhagymapor, só, bors, mozzarelőa sajt","Melegí­tsd elő a sütőt 180 fokra. Forralj felő4 liter vizet; í­zlés szárint adj hozzá sót. Helyezd a tésztát a ví­zbe ésfőzd 9 percig. Szórd le, majd öblí­tsd le hideg ví­zzelő hogy ne ragadjon össze.

Amí­g a tészta f?, pirí­tsd meg a húst egy nagy serpenyőben. Szórd le, majd add hozzá a spagetti szószt; hagyd párolódni 5 percig, majd kapcsold ki a tüzet.

Egy tálban keverd össze a tojást, 1 csésze mozzarelőát, a ricotta felőt, parmezánt és f?száreket.öntsd egy réteg húsos szószt a sütőedény aljára, felőasználva a felőt.

Egy kanállal vagy habzsákkal töltsd meg a tésztát a sajtkrémmelő majd Helyezd a szósz tetejére. Kenj rá a maradék ricotta, majd rétegezd a maradék szósszal és mozzarelőával. Süsd lefedve 40 percig.",Egytálétel,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/17/91/56/picOuVNjW.jpg"
511728,204.7831927,68.00877822,70,Marhahúsos árpaleves,"árpa, marhahúsos pörkölt, hagyma, fokhagyma gerezdek, fokhagymapor, zeller szárak, sárgarépa, kukorica, babérlevél, szárĂ­tott bazsalikom, só, paradicsompüré, Worcestershire szósz, vörösbor, víz","Egy nagy serpenyőben pirí­tsd meg a hagymát és a marhahúst, ne zsúfold be, ha szükséges, adagokban csináld. Egy lábasban tedd belő a 3 csésze vizet az árpával, fokhagymával, bazsalikommal, sóval és babérlevéllelő Add hozzá a megpirí­tott marhahúst és hagymát a lábasba.öntsd felőa serpenyőt borral, majd add hozzá a lábasba. Forrald felő majd fedd le, és párold 30 percig, id?nként keverve. Adj hozzá worcestershire szószt, sárgarépát, zellert, paradicsompürét és marhahús alapot. Forrald felőújra, fedd le, és párold 35 percig, id?nként keverve. Adj hozzá kukoricát, forrald felőújra, és párold 5 percig. Ha száretnéd, adj hozzá 1/2 - 1 tk frissen ?rölt borsot, í­zesí­tsd, és igazí­tsd az í­zlésed szárinti sótartalomhoz.",Gabonafélék,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/51/17/28/guDnOOvFRviLbEJklWWg-beef-barley.jpg"
356346,231.7175776,64.2893335,65,Gyerekek kedvenc spagetti szósza,"sovány marhahús, olĂ­vaolaj, hagyma, zúzott fokhagymagerezdek, zeller szárak, sárgarépa, szárĂ­tott oregánó levelők, szárĂ­tott bazsalikom levelők, szárĂ­tott ?rölt paprikás chili, paprika, paradicsomszósz, paradicsomlé, paradicsompüré, vörösbor, víz","1. Egy serpenyőben közepes lángon pirí­tsd meg a darált marhahúst és kolbászt. 2. (Nem lesz szükséged további zsí­rra; a kolbász előgend? lesz. 3. Használj fakanalat a húsok morzsolásához és összekeveréséhez., Eközben egy lábasban közepes lángon heví­ts olajat és pirí­tsd meg az hagymát, amí­g üveges nem lesz, kb. 5 percig. 4. Add hozzá a fokhagymát, zellert és sárgarépát, és folytasd a pirí­tást további 3 percig. 5. Keverd hozzá az oregánót, bazsalikomot, zellersót, vörös paprikát és pirospaprikát, majd folytasd a pirí­tást további 2 percig., Egy lyukacsos kanállal szedd át a megpirult húst a lábasba. 6. Keverd hozzá a paradicsomszószt, levet, pasztát; bort; és vizet. 7. Forrald felőaz előgyet. 8. Vedd vissza a h?fokot alacsonyra és folytasd a párolást lefedetlenül 30 percig. 9. Kapcsold ki a tüzet, fedd le, és hagyd kih?lni a szószt szobah?mérsékletre. 10. Igény szárint használj botmixert a szósz néhány alkalommal való összeturmixolásához simább állag érdekében. 11. Melegí­tsd újra és tálald kedvenc tésztád fölött. 12. H?tsd h?t?szekrényben akár 3 napig, vagy fag",Szószok,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/63/46/picJUlxYr.jpg"
530471,203.4980253,72.1297284,65,Csirke vadászmódra,"csirkehús, olĂ­vaolaj, édes hagyma, fokhagyma gerezdek, kockára vágott paradicsom, paradicsompüré, száraz vörösbor, fokhagymapor, fekete bors, szárĂ­tott oregánó","Melegí­tsd elő a sütőt 190 fokra. Mossd meg és Szárítsd meg a csirkehús darabokat. Egy nagy serpenyőben melegí­tsd felőaz olí­vaolajat közepes magas h?fokon. Add hozzá a csirkét, majd Szórd meg a fokhagyma, bors és oregano felővelő ahogy barnul a forró olajban. Barní­tsd meg mindkét oldalát, majd tedd át a csirkét egy 23x33 cm-es sütőedénybe. Hámozd meg és vágd felőa hagymát 1,25 cm-es szelőtekre. Aprí­tsd felőa fokhagymát. Add hozzá a szelőtelő hagymát és fokhagymát a forró olajhoz, és pirí­tsd 3-4 percig, amí­g enyhén meg nem barnul. Egy lyukas kanállal vedd ki a serpenyőből, és rendezd rá a csirkére. Egy nagy tálban keverd össze a paradicsomot, paradicsompürét, bort, cukrot, valamint a maradék fokhagymát, borsot és oreganót. Keverd össze jól egy habver?velőöntsd a csirke és zöldségek fölé. Fedd le alufóliával, majd süsd 40 percig. Vegyél le róla a fóliát, és süsd további 40 percig fedetlenül. (Csont nélküli melőek esetén a sütési id?t felőzd meg. 6-8 személy részére.)",Csirkecomb,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/submissions/recipe/2001338859/ndk6dpBTQEahWFqqtxYl_2.jpg"
300190,216.4421987,63.86079127,70,Finom töltött piros paprikák k?lönleges változata,"piros kaliforniai paprika, darált marhahús, sárga hagyma, mogyoróhagyma, fokhagyma gerezdek, hosszú szem? rizs, víz, kosher só, fehér bors, bors, cayenne bors, cheddar sajt, parmezán-romano sajtkeverék, mozzarelőa sajt","1. Vágd le a paprikák tetejét, tedd félre, távolí­tsd előa szárat, hártyát és magokat; ültessd előa magokat és a felősleget a kertedben, a hártya és a szár jó mulcsnak számí­t, és jöv?re finom, otthon termesztett paprikáid lesznek. Vágd apróra a tetejüket és tedd félre.főzd meg a kicsontozott paprikákat, fedetlenül forrásban lév? ví­zben 10-15 percig, majd vedd ki és azonnal Helyezd jéghideg ví­zbe, ez megkönnyí­ti a hámozást. 2. Hámozd meg a paprikákat, tedd zsí­rozott tálba (én Pam-et használok és enyhén megszárom sóval a belőejüket. 3. Nem muszáj, de mi jobban száretjük hámozva, mert kés?bb könnyebb villával vágni és gyönyör? textúrája lesz. 
Egy serpenyőben pirí­tsd meg a darált húst, hagymát, salottát, fokhagymát és felőprí­tott paprikát, amí­g a hús meg nem pirul és a zöldségek meg nem puhulnak.öntsd le a felősleges zsí­rt, ha úgy gondolod, tovább mehetve azzal, hogy külön megfőzöd a húst, leöblí­ted, majd hozzáadod a zöldségeket, ez csökkenti a zsí­rtartalmat. 4. Adj hozzá nyers rizst, vizet, sót, Dales-t és borsot. Forrald felő csökkentsd a h?fokot. 5. Fedd le és párold körülbelől 20",Egytálétel,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/01/90/picPTIoBS.jpg"
313086,223.9767051,69.54982643,60,Ravioli tál,"sovány marhahús, f?száres só, fokhagymapor, fekete bors, vöröshagyma, cukkini, margarin, mozzarelőa sajt","Egy nagy serpenyőben pirí­tsd meg a darált marhahúst, amí­g már nem rózsaszí­n?, majd Szórd le. Tegyed vissza a serpenyőbe, és add hozzá a sót, borsot és fokhagymapor.

Egy nagy lábasban pirí­tsd meg az hagymát és a cukkinit margarinon, csak addig, amí­g enyhén megpuhulnak, majd keverd hozzá a spagetti szószt.

Egy vajazott 22x33 cm-es tepsiben terí­ts elő1/2 csésze szószt, rétegezd a raviolit, a maradék spagetti szószt, a maradék húst és a maradék sajtot.

Ismételd meg újra, kivéve a sajtot.

Fedd le, és süsd 180 fokon 35 percig.

Vedd le a fedőt, és Szórd rá a maradék sajtot.

Hagyd állni 10 percig, mielőtt tálalnád.",Sajt,"https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/30/86/9ouyzeKzT3CIigGw8sjf_Easy%20Baked%20Ravioli%20Casserole_final_5.jpg"
